"V1"	"V2"
"X150925_D00390_0235_BC6K0YANXX_SQ0122"	-76.4460208143692	0.106130640218648
"X150925_D00390_0235_BC6K0YANXX_SQ0123"	-68.4308882454257	-0.193275789377941
"X150925_D00390_0235_BC6K0YANXX_SQ2534"	49.0591618170496	-11.2452599223742
"X150925_D00390_0235_BC6K0YANXX_SQ2535"	52.29848866387	-10.4617408039875
"X150925_D00390_0235_BC6K0YANXX_SQ2536"	51.7502474736437	-11.8912785849623
"X150925_D00390_0235_BC6K0YANXX_SQ2537"	49.3417464985095	-9.89195000683096
"X150925_D00390_0235_BC6K0YANXX_SQ2538"	51.3819374574191	-11.5930806197472
"X151016_D00390_0236_AC6JURANXX_SQ0124"	-50.0109227063514	-1.00480449198468
"X151016_D00390_0236_AC6JURANXX_SQ0125"	-41.4466570524662	-1.1375340581629
"X151016_D00390_0236_AC6JURANXX_SQ0126"	-45.0455383697065	-1.14060834859715
"X151016_D00390_0236_AC6JURANXX_SQ0127"	-48.8279656662844	-1.55782925501809
"X151016_D00390_0236_AC6JURANXX_SQ0128"	-70.808667072411	0.391371034582269
"X151016_D00390_0236_AC6JURANXX_SQ0129"	-65.484739737094	-0.597166129261911
"X151016_D00390_0236_AC6JURANXX_SQ0130"	-51.2481586166001	-1.30597105467677
"X151016_D00390_0236_AC6JURANXX_SQ2539"	64.0824338676307	-11.1800347255653
"X151028_D00390_0238_AC805KANXX_SQ0131"	-34.858257719674	-1.2985677430215
"X151028_D00390_0238_AC805KANXX_SQ0132"	-26.2352084761103	-1.47688492975193
"X151028_D00390_0238_AC805KANXX_SQ0133"	-27.3746713353047	-3.80816838721569
"X151028_D00390_0238_AC805KANXX_SQ0134"	-31.1666916979793	-1.51657523542349
"X151028_D00390_0238_AC805KANXX_SQ0135"	-44.3454154030116	-1.27032644616441
"X151028_D00390_0238_AC805KANXX_SQ0136"	-52.0579505921514	-0.855501313267065
"X151028_D00390_0238_AC805KANXX_SQ0137"	-23.9317161651333	-1.48579246380235
"X151028_D00390_0238_AC805KANXX_SQ0138"	-44.0689493281693	-0.903315656729171
"X151113_D00390_0239_BC808AANXX_SQ0139"	-25.4416905392175	-1.68106617259881
"X151113_D00390_0239_BC808AANXX_SQ0140"	-39.4612110979354	-1.75090750022475
"X151113_D00390_0239_BC808AANXX_SQ0141"	-32.4310990724744	-1.86728169411418
"X151113_D00390_0239_BC808AANXX_SQ0142"	-34.2790895117315	-1.73220331258641
"X151113_D00390_0239_BC808AANXX_SQ0143"	98.9992742962923	11.1951774742775
"X151113_D00390_0239_BC808AANXX_SQ0144"	-27.2502610217247	-2.13316078813016
"X151113_D00390_0239_BC808AANXX_SQ2540"	50.9107966507506	-11.1154963705004
"X151113_D00390_0239_BC808AANXX_SQ2541"	57.1819639701808	-10.8188020929058
"X151124_D00390_0240_AC88WPANXX_SQ0145"	-68.0862714310858	-0.580905924348247
"X151124_D00390_0240_AC88WPANXX_SQ0146"	-52.4146040077759	-1.49701088396
"X151124_D00390_0240_AC88WPANXX_SQ0147"	-67.7735130649466	-0.657844435441891
"X151124_D00390_0240_AC88WPANXX_SQ0148"	-35.7841995600002	-1.72002423342267
"X151124_D00390_0240_AC88WPANXX_SQ0149"	-43.8421832821271	-1.60218676110851
"X151124_D00390_0240_AC88WPANXX_SQ0151"	-110.319507874312	0.0992039635951408
"X151124_D00390_0240_AC88WPANXX_SQ0152"	-74.7922112738768	-0.793246562448432
